Position x [mm];Position y [mm];Position z [mm];Volumen [mm³];Oberfläche [mm²];Mittlere Porosität [%];Porositätsabweichung [%];Maximale Porosität [%];Beschreibung;Bild;Fokussiertes Bild;Screenshots
-0,2038;-0,1521;62,9041;0,03;0,70;2,64;0,47;3,90;;Aus;Aus;0
-0,2058;2,0787;64,6427;0,00;0,15;2,09;0,06;2,23;;Aus;Aus;0
-0,2091;-2,0906;62,8466;0,00;0,05;2,04;0,02;2,09;;Aus;Aus;0
-0,2133;0,3590;34,8017;0,31;3,88;4,56;2,97;16,66;;Aus;Aus;0
-0,2259;-1,4865;62,6206;0,35;4,89;4,14;2,10;12,63;;Aus;Aus;0
-0,2415;-1,6004;76,5704;0,01;0,27;2,27;0,19;2,72;;Aus;Aus;0
-0,2430;1,3619;38,3480;0,00;0,03;2,03;0,02;2,07;;Aus;Aus;0
-0,2446;-0,4480;50,0694;0,00;0,16;2,12;0,08;2,32;;Aus;Aus;0
-0,2642;-0,4133;67,0445;0,05;1,01;3,12;0,89;5,65;;Aus;Aus;0
-0,2801;0,8076;65,2376;0,57;8,02;4,46;2,82;16,47;;Aus;Aus;0
-0,2812;-1,9612;24,1040;0,17;2,55;3,48;1,39;8,36;;Aus;Aus;0
-0,2831;0,7303;61,7218;0,04;0,83;2,88;0,67;4,69;;Aus;Aus;0
-0,2850;0,8677;60,6431;0,01;0,24;2,21;0,14;2,55;;Aus;Aus;0
-0,2956;-1,4898;73,3851;0,33;3,75;4,93;2,54;13,88;;Aus;Aus;0
-0,3143;0,7316;25,0484;0,01;0,33;2,13;0,09;2,35;;Aus;Aus;0
-0,3160;3,2040;22,6061;0,75;13,12;2,29;0,25;3,47;;Aus;Aus;0
-0,3163;-0,2557;34,4992;0,01;0,21;2,14;0,10;2,38;;Aus;Aus;0
-0,3206;1,4431;58,8964;0,07;1,24;3,42;1,15;6,77;;Aus;Aus;0
-0,3207;-2,2073;63,5355;0,19;2,47;3,70;1,44;8,18;;Aus;Aus;0
-0,3264;-1,0214;63,4326;0,03;0,77;2,82;0,63;4,53;;Aus;Aus;0
-0,3304;-2,3053;21,8108;0,00;0,09;2,08;0,06;2,22;;Aus;Aus;0
-0,3307;2,7699;63,4385;0,01;0,26;2,11;0,08;2,29;;Aus;Aus;0
-0,3338;-2,2878;71,1044;0,04;0,90;2,87;0,68;4,82;;Aus;Aus;0
-0,3357;-0,1879;47,8856;0,02;0,57;2,59;0,43;3,71;;Aus;Aus;0
-0,3422;-1,6192;58,5355;0,06;1,08;3,18;0,94;5,86;;Aus;Aus;0
-0,3460;-1,1594;33,4499;0,02;0,50;2,27;0,20;2,80;;Aus;Aus;0
-0,3479;-3,1473;20,9970;0,05;1,38;2,17;0,13;2,57;;Aus;Aus;0
-0,3519;0,6375;22,6643;0,04;0,95;2,78;0,64;4,59;;Aus;Aus;0
-0,3714;0,0510;36,8647;0,00;0,12;2,05;0,04;2,13;;Aus;Aus;0
-0,3731;3,3314;21,8355;0,00;0,19;2,05;0,03;2,12;;Aus;Aus;0
-0,3757;-0,9296;67,1442;0,04;0,85;2,78;0,60;4,42;;Aus;Aus;0
-0,3777;0,8965;71,4070;0,01;0,43;2,37;0,27;3,05;;Aus;Aus;0
-0,3885;-0,5464;27,2908;0,04;0,89;2,54;0,43;3,76;;Aus;Aus;0
-0,3946;-1,2770;22,7323;0,19;3,09;3,69;1,44;8,26;;Aus;Aus;0
-0,3992;3,1822;77,6675;0,00;0,11;2,03;0,02;2,07;;Aus;Aus;0
-0,4027;-2,6431;21,4723;0,04;0,83;2,63;0,49;4,03;;Aus;Aus;0
-0,4090;0,2606;47,3575;0,06;1,17;3,20;0,98;6,11;;Aus;Aus;0
-0,4196;1,5291;25,5999;0,00;0,01;2,00;0,00;2,00;;Aus;Aus;0
-0,4221;-0,3887;36,0819;0,06;1,13;2,64;0,51;4,08;;Aus;Aus;0
-0,4316;2,0139;21,9150;0,00;0,05;2,05;0,03;2,12;;Aus;Aus;0
-0,4328;0,9368;20,8981;0,44;5,72;4,60;2,83;18,16;;Aus;Aus;0
-0,4335;0,3637;26,2749;0,16;2,32;3,51;1,36;8,49;;Aus;Aus;0
-0,4355;-0,3913;45,2960;0,00;0,13;2,05;0,03;2,13;;Aus;Aus;0
-0,4393;-0,2108;76,5622;0,01;0,30;2,30;0,21;2,80;;Aus;Aus;0
-0,4515;1,5620;64,0044;0,02;0,46;2,41;0,29;3,16;;Aus;Aus;0
-0,4522;0,2421;52,1331;0,04;0,98;2,69;0,55;4,22;;Aus;Aus;0
-0,4741;-1,2430;59,0434;0,13;1,90;4,32;2,13;11,38;;Aus;Aus;0
-0,4745;-0,8561;44,6813;0,09;1,57;2,62;0,46;4,06;;Aus;Aus;0
-0,4771;-0,8469;60,9030;0,02;0,55;2,58;0,42;3,63;;Aus;Aus;0
-0,4791;1,8714;64,7361;0,00;0,02;2,01;0,01;2,03;;Aus;Aus;0
-0,4855;2,2148;61,0829;0,01;0,37;2,34;0,24;2,96;;Aus;Aus;0
-0,4883;-0,5845;33,9245;0,23;2,89;3,63;1,40;8,26;;Aus;Aus;0
-0,4981;0,5403;49,5846;0,13;2,29;3,07;0,92;6,35;;Aus;Aus;0
-0,5026;2,1277;75,9115;0,01;0,24;2,21;0,14;2,55;;Aus;Aus;0
-0,5103;1,3996;62,0553;0,05;1,03;3,18;0,93;5,86;;Aus;Aus;0
-0,5112;-1,7594;20,1787;0,05;1,10;2,66;0,54;4,27;;Aus;Aus;0
-0,5192;-1,0171;57,8511;0,00;0,13;2,07;0,05;2,17;;Aus;Aus;0
-0,5411;-3,1629;21,7819;0,00;0,04;2,01;0,01;2,03;;Aus;Aus;0
-0,5416;-1,7934;23,5724;0,06;1,09;3,15;0,91;5,81;;Aus;Aus;0
-0,5419;3,0721;77,9378;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
-0,5508;-3,1361;20,2735;0,00;0,20;2,07;0,05;2,18;;Aus;Aus;0
-0,5557;-2,2336;66,0803;0,00;0,13;2,09;0,06;2,23;;Aus;Aus;0
-0,5748;1,9170;77,9147;0,01;0,39;2,38;0,27;3,08;;Aus;Aus;0
-0,5799;2,3556;72,7372;0,03;0,62;2,51;0,38;3,55;;Aus;Aus;0
-0,5911;-2,5941;67,0680;0,07;1,25;3,21;0,97;6,02;;Aus;Aus;0
-0,5920;-0,9483;30,6833;0,06;1,07;3,06;0,84;5,50;;Aus;Aus;0
-0,6029;0,0203;38,3486;0,12;1,76;4,18;1,94;10,38;;Aus;Aus;0
-0,6114;0,2157;59,7724;0,01;0,43;2,44;0,31;3,24;;Aus;Aus;0
-0,6122;0,0372;68,8516;1,69;15,55;6,95;5,62;34,02;;Aus;Aus;0
-0,6482;-0,8959;75,2301;0,00;0,15;2,13;0,08;2,32;;Aus;Aus;0
-0,6548;0,2794;29,7843;0,08;1,34;3,02;0,81;5,32;;Aus;Aus;0
-0,6630;1,1367;48,7745;0,06;1,15;2,84;0,66;4,68;;Aus;Aus;0
-0,6704;-1,7844;74,7247;0,14;2,01;3,64;1,36;7,64;;Aus;Aus;0
-0,6714;0,6337;53,6190;0,01;0,35;2,07;0,05;2,23;;Aus;Aus;0
-0,6731;-0,9958;65,2237;0,09;1,47;3,74;1,45;8,10;;Aus;Aus;0
-0,6751;0,4895;76,9368;0,03;0,73;2,81;0,61;4,43;;Aus;Aus;0
-0,6860;-0,2280;35,2993;0,01;0,31;2,19;0,13;2,51;;Aus;Aus;0
-0,6884;-0,2093;71,0513;0,00;0,04;2,03;0,02;2,07;;Aus;Aus;0
-0,7005;-2,4350;19,2649;0,03;0,75;2,71;0,54;4,20;;Aus;Aus;0
-0,7013;1,1552;20,1279;0,01;0,26;2,25;0,18;2,68;;Aus;Aus;0
-0,7129;-2,3816;20,0314;0,02;0,59;2,53;0,39;3,56;;Aus;Aus;0
-0,7165;3,2627;19,5806;0,00;0,02;2,00;0,00;2,01;;Aus;Aus;0
-0,7232;-2,3688;48,9849;0,00;0,00;2,00;0,00;2,00;;Aus;Aus;0
-0,7316;-0,3995;22,8102;0,02;0,52;2,53;0,39;3,52;;Aus;Aus;0
-0,7348;0,1813;60,7802;0,19;2,96;3,35;1,24;8,44;;Aus;Aus;0
-0,7408;0,4943;48,6260;0,00;0,21;2,18;0,12;2,48;;Aus;Aus;0
-0,7541;0,3137;79,1207;0,06;1,23;2,93;0,71;5,00;;Aus;Aus;0
-0,7542;-0,7927;49,9604;0,02;0,53;2,39;0,28;3,14;;Aus;Aus;0
-0,7703;-1,4408;76,1963;0,02;0,47;2,48;0,34;3,33;;Aus;Aus;0
-0,7762;-0,7158;79,5685;0,09;1,63;3,52;1,32;7,45;;Aus;Aus;0
-0,7799;2,3255;20,0544;0,02;0,60;2,58;0,43;3,68;;Aus;Aus;0
-0,7890;1,3110;59,4930;0,01;0,35;2,35;0,24;2,95;;Aus;Aus;0
-0,7933;-0,9439;75,6662;0,00;0,09;2,08;0,05;2,20;;Aus;Aus;0
-0,7950;3,2544;18,8839;0,00;0,19;2,07;0,05;2,19;;Aus;Aus;0
-0,7959;2,4061;63,8739;0,08;1,33;3,24;1,03;6,35;;Aus;Aus;0
-0,7976;2,5207;20,8031;0,07;1,24;3,14;0,95;5,93;;Aus;Aus;0
-0,8015;1,0206;32,9347;0,01;0,35;2,17;0,12;2,46;;Aus;Aus;0
-0,8046;-0,9910;25,3127;0,01;0,44;2,23;0,17;2,66;;Aus;Aus;0
-0,8058;-0,5799;67,9780;0,26;3,84;3,73;1,45;8,70;;Aus;Aus;0
-0,8071;-0,3575;20,0459;0,82;8,56;5,53;3,74;23,41;;Aus;Aus;0
-0,8106;-0,1563;58,5570;0,30;3,57;4,91;2,62;14,48;;Aus;Aus;0
-0,8167;-0,6177;23,5574;0,11;1,69;3,85;1,55;8,48;;Aus;Aus;0
-0,8179;0,5173;21,7946;0,37;5,26;3,55;1,52;10,39;;Aus;Aus;0
-0,8322;-0,9352;21,3887;1,01;10,75;5,69;3,91;21,59;;Aus;Aus;0
-0,8339;-3,1251;79,0921;0,00;0,04;2,01;0,01;2,02;;Aus;Aus;0
-0,8436;-0,1943;49,6239;0,09;1,52;3,49;1,29;7,49;;Aus;Aus;0
-0,8622;1,1040;52,2404;0,06;1,17;2,71;0,59;4,44;;Aus;Aus;0
-0,8681;-0,0782;37,4057;0,00;0,01;2,00;0,00;2,01;;Aus;Aus;0
-0,8720;1,3266;74,5569;0,09;1,46;3,76;1,50;8,38;;Aus;Aus;0
-0,8794;0,3824;75,0999;0,14;2,37;3,51;1,48;8,40;;Aus;Aus;0
-0,8862;1,4661;58,4848;0,01;0,30;2,26;0,18;2,68;;Aus;Aus;0
-0,8891;3,1280;68,5458;0,00;0,01;2,00;0,00;2,00;;Aus;Aus;0
-0,8912;-2,5960;21,3381;0,01;0,41;2,30;0,21;2,83;;Aus;Aus;0
-0,8928;-3,0069;67,6980;0,01;0,41;2,08;0,06;2,24;;Aus;Aus;0
-0,8940;-3,0763;67,2672;0,00;0,07;2,02;0,01;2,04;;Aus;Aus;0
-0,8983;-0,0105;45,1103;0,02;0,50;2,29;0,21;2,84;;Aus;Aus;0
